attack_range,mode,repeat,survivors_A,survivors_B,first_contact_tick,alive_curve_crossing,alive_curve_crossing_tick,ffc_mean_engagement,ffc_p90_engagement,ffc_total_target_count_mean_engagement,delta_alive_std_engagement,delta_alive_nonzero_ticks_engagement,mass_focus_fire_each_tick_visual_dominant
3,fixed_seed_20260228,1,73,64,110,False,,0.17437135448418686,0.2631578947368421,50.109947643979055,0.6233665368015585,49,False
3,random_seed_minus1,1,73,64,110,False,,0.17437135448418686,0.2631578947368421,50.109947643979055,0.6233665368015585,49,False
3,random_seed_minus1,2,73,64,110,False,,0.17437135448418686,0.2631578947368421,50.109947643979055,0.6233665368015585,49,False
3,random_seed_minus1,3,73,64,110,False,,0.17437135448418686,0.2631578947368421,50.109947643979055,0.6233665368015585,49,False
5,fixed_seed_20260228,1,53,37,109,False,,0.24765743406609828,0.4273809523809524,73.79166666666667,0.753392212853895,84,False
5,random_seed_minus1,1,53,37,109,False,,0.24765743406609828,0.4273809523809524,73.79166666666667,0.753392212853895,84,False
5,random_seed_minus1,2,53,37,109,False,,0.24765743406609828,0.4273809523809524,73.79166666666667,0.753392212853895,84,False
5,random_seed_minus1,3,53,37,109,False,,0.24765743406609828,0.4273809523809524,73.79166666666667,0.753392212853895,84,False
10,fixed_seed_20260228,1,40,14,106,False,,0.39165430789292593,0.5776623376623375,99.88205128205128,0.7669024592381587,111,True
10,random_seed_minus1,1,40,14,106,False,,0.39165430789292593,0.5776623376623375,99.88205128205128,0.7669024592381587,111,True
10,random_seed_minus1,2,40,14,106,False,,0.39165430789292593,0.5776623376623375,99.88205128205128,0.7669024592381587,111,True
10,random_seed_minus1,3,40,14,106,False,,0.39165430789292593,0.5776623376623375,99.88205128205128,0.7669024592381587,111,True
20,fixed_seed_20260228,1,35,11,102,False,,0.5944681432455833,0.7346938775510204,103.80402010050251,0.6528796691019779,129,True
20,random_seed_minus1,1,35,11,102,False,,0.5944681432455833,0.7346938775510204,103.80402010050251,0.6528796691019779,129,True
20,random_seed_minus1,2,35,11,102,False,,0.5944681432455833,0.7346938775510204,103.80402010050251,0.6528796691019779,129,True
20,random_seed_minus1,3,35,11,102,False,,0.5944681432455833,0.7346938775510204,103.80402010050251,0.6528796691019779,129,True
30,fixed_seed_20260228,1,38,6,97,False,,0.6287700068588351,0.8080029013539651,101.6078431372549,0.8004468187039289,109,True
30,random_seed_minus1,1,38,6,97,False,,0.6287700068588351,0.8080029013539651,101.6078431372549,0.8004468187039289,109,True
30,random_seed_minus1,2,38,6,97,False,,0.6287700068588351,0.8080029013539651,101.6078431372549,0.8004468187039289,109,True
30,random_seed_minus1,3,38,6,97,False,,0.6287700068588351,0.8080029013539651,101.6078431372549,0.8004468187039289,109,True
