case,fr,mb,pd,single_sided_pocket_permanence,pocket_persistent_end_A,pocket_persistent_end_B,pocket_count,pocket_mean,pocket_p90,pocket_max
FR2_MB2_PD2,2,2,2,False,0,0,43,18.86046511627907,73.60000000000005,85
FR2_MB2_PD5,2,2,5,False,0,0,43,18.86046511627907,73.60000000000005,85
FR2_MB2_PD8,2,2,8,False,0,0,43,18.86046511627907,73.60000000000005,85
FR2_MB8_PD2,2,8,2,False,1,1,35,23.771428571428572,77.6,88
FR2_MB8_PD5,2,8,5,False,1,1,35,23.771428571428572,77.6,88
FR2_MB8_PD8,2,8,8,False,1,1,35,23.771428571428572,77.6,88
FR8_MB2_PD2,8,2,2,False,0,0,58,28.03448275862069,89.9,172
FR8_MB2_PD5,8,2,5,False,0,0,58,28.03448275862069,89.9,172
FR8_MB2_PD8,8,2,8,False,0,0,58,28.03448275862069,89.9,172
FR8_MB8_PD2,8,8,2,True,1,0,25,66.2,180.8,219
FR8_MB8_PD5,8,8,5,True,1,0,25,66.2,180.8,219
FR8_MB8_PD8,8,8,8,True,1,0,25,66.2,180.8,219
