case,mode,count,mean,p50,p90,max,persistent_ge_20_count,hist_1_5,hist_6_10,hist_11_20,hist_21_40,hist_41_plus
FR2_MB2_PD2,baseline_v1,46,12.608695652173912,5.5,28.0,120,11,23,4,9,9,1
FR2_MB2_PD2,switch_v2,33,15.878787878787879,11,32.6,68,11,9,7,9,5,3
FR2_MB2_PD5,baseline_v1,31,5.258064516129032,3,13,14,0,21,3,7,0,0
FR2_MB2_PD5,switch_v2,28,8.571428571428571,7.0,15.3,32,1,10,7,10,1,0
FR2_MB2_PD8,baseline_v1,26,9.307692307692308,5.5,19.0,57,2,13,6,5,1,1
FR2_MB2_PD8,switch_v2,27,9.037037037037036,4,19.400000000000002,55,3,15,3,7,1,1
FR2_MB5_PD2,baseline_v1,34,12.558823529411764,6.0,29.099999999999998,75,9,14,9,4,4,3
FR2_MB5_PD2,switch_v2,40,10.4,5.0,25.200000000000003,44,9,20,6,5,8,1
FR2_MB5_PD5,baseline_v1,38,11.052631578947368,6.5,27.60000000000001,58,6,18,7,8,3,2
FR2_MB5_PD5,switch_v2,32,11.90625,6.0,22.60000000000001,66,4,13,10,5,1,3
FR2_MB5_PD8,baseline_v1,28,7.571428571428571,7.0,17.0,26,1,13,8,6,1,0
FR2_MB5_PD8,switch_v2,26,8.153846153846153,5.5,17.0,26,2,13,4,7,2,0
FR2_MB8_PD2,baseline_v1,44,10.75,7.0,26.0,52,6,20,11,7,3,3
FR2_MB8_PD2,switch_v2,31,13.516129032258064,11,27,57,7,14,1,9,4,3
FR2_MB8_PD5,baseline_v1,36,7.722222222222222,3.0,17.5,40,3,22,4,7,3,0
FR2_MB8_PD5,switch_v2,22,14.090909090909092,3.0,24.0,151,4,13,3,2,3,1
FR2_MB8_PD8,baseline_v1,22,17.454545454545453,5.0,36.60000000000005,137,3,12,3,4,1,2
FR2_MB8_PD8,switch_v2,35,10.114285714285714,8,18.6,47,3,15,3,14,2,1
FR5_MB2_PD2,baseline_v1,62,19.725806451612904,4.5,72.9,83,19,33,5,6,5,13
FR5_MB2_PD2,switch_v2,71,17.591549295774648,5,72,84,16,36,9,12,2,12
FR5_MB2_PD5,baseline_v1,45,13.066666666666666,7,37.400000000000006,69,11,22,6,8,5,4
FR5_MB2_PD5,switch_v2,59,8.389830508474576,3,29.0,66,7,37,10,5,6,1
FR5_MB2_PD8,baseline_v1,46,9.304347826086957,7.5,16.5,49,4,19,17,6,2,2
FR5_MB2_PD8,switch_v2,46,11.347826086956522,4.0,26.5,73,9,28,6,3,5,4
FR5_MB5_PD2,baseline_v1,47,26.170212765957448,6,75.6,259,14,23,6,4,1,13
FR5_MB5_PD2,switch_v2,66,22.46969696969697,6.0,80.0,121,19,24,14,9,6,13
FR5_MB5_PD5,baseline_v1,41,10.951219512195122,6,26,41,8,19,6,9,6,1
FR5_MB5_PD5,switch_v2,55,11.654545454545454,6,34.0,80,11,26,9,10,9,1
FR5_MB5_PD8,baseline_v1,40,7.25,4.0,18.300000000000004,29,4,24,6,6,4,0
FR5_MB5_PD8,switch_v2,55,10.090909090909092,5,23.200000000000003,93,7,28,12,8,5,2
FR5_MB8_PD2,baseline_v1,52,27.615384615384617,14.0,82.89999999999999,87,20,20,4,8,6,14
FR5_MB8_PD2,switch_v2,57,24.035087719298247,4,79.8,236,14,33,6,4,1,13
FR5_MB8_PD5,baseline_v1,54,12.11111111111111,6.0,36.00000000000003,54,12,27,9,8,6,4
FR5_MB8_PD5,switch_v2,42,12.119047619047619,5.0,29.799999999999997,76,10,23,5,4,8,2
FR5_MB8_PD8,baseline_v1,45,10.155555555555555,5,25.20000000000001,69,8,25,5,8,6,1
FR5_MB8_PD8,switch_v2,57,7.912280701754386,3,17.4,38,4,31,6,17,3,0
FR8_MB2_PD2,baseline_v1,56,23.839285714285715,6.0,86.5,95,17,27,8,4,4,13
FR8_MB2_PD2,switch_v2,40,38.75,14.5,91.3,183,16,13,5,8,1,13
FR8_MB2_PD5,baseline_v1,68,12.323529411764707,6.0,28.300000000000004,80,12,33,11,13,6,5
FR8_MB2_PD5,switch_v2,47,18.425531914893618,10,55.39999999999999,84,13,19,6,10,6,6
FR8_MB2_PD8,baseline_v1,47,13.72340425531915,4,39.39999999999999,71,10,25,3,9,5,5
FR8_MB2_PD8,switch_v2,43,17.232558139534884,12,38.60000000000005,91,15,14,6,10,8,5
FR8_MB5_PD2,baseline_v1,50,30.5,6.5,94.0,174,18,24,2,6,3,15
FR8_MB5_PD2,switch_v2,61,26.442622950819672,5,92,193,14,32,9,6,2,12
FR8_MB5_PD5,baseline_v1,62,15.161290322580646,7.0,52.19999999999999,80,13,29,6,15,3,9
FR8_MB5_PD5,switch_v2,51,18.666666666666668,7,51,160,14,25,8,4,6,8
FR8_MB5_PD8,baseline_v1,46,16.73913043478261,4.0,59.0,84,12,24,5,6,4,7
FR8_MB5_PD8,switch_v2,43,15.837209302325581,5,52.000000000000085,74,12,22,5,4,7,5
FR8_MB8_PD2,baseline_v1,30,52.5,32.5,97.50000000000001,244,17,10,2,1,3,14
FR8_MB8_PD2,switch_v2,28,52.607142857142854,21.5,113.50000000000004,186,14,7,3,4,1,13
FR8_MB8_PD5,baseline_v1,61,17.918032786885245,5,59,87,17,31,9,4,6,11
FR8_MB8_PD5,switch_v2,52,22.057692307692307,5.5,70.1,119,17,26,5,4,4,13
FR8_MB8_PD8,baseline_v1,61,14.540983606557377,5,37,80,13,31,8,9,8,5
FR8_MB8_PD8,switch_v2,50,18.22,7.5,51.50000000000001,138,15,24,6,6,7,7
