movement_model,movement_v3a_experiment,cell_MB,n_runs,win_rate_A,precontact_ar_p90_A_mean,precontact_wedge_p10_A_mean,precontact_split_p90_A_mean,precontact_persistent_outlier_p90_mean,precontact_max_persistence_max_mean,first_contact_tick_mean,cut_tick_T_mean,pocket_tick_T_mean,end_tick_mean
v3a,base,2,6,0.6666666666666666,2.107846416028253,0.6626377511814175,1.7373587755857007,1.8333333333333333,34.5,105.83333333333333,153.83333333333334,203.16666666666666,452.8333333333333
v3a,base,5,6,0.8333333333333334,2.1533088788864383,0.628954493020105,1.7371697541474023,2.8500000000000014,40.0,105.66666666666667,154.5,180.33333333333334,490.3333333333333
v3a,base,8,6,0.3333333333333333,2.146875179415408,0.6109485141740546,1.726420201826488,4.1833333333333345,48.833333333333336,105.83333333333333,219.0,164.16666666666666,466.6666666666667
v3a,exp_a_reduced_centroid,2,6,0.6666666666666666,1.9883153770066604,0.763513620032206,1.7263233535912168,0.0,7.0,107.16666666666667,127.83333333333333,165.0,483.3333333333333
v3a,exp_a_reduced_centroid,5,6,0.16666666666666666,1.9847748762810777,0.7446612401199704,1.7328233013387695,0.0,9.5,107.16666666666667,126.16666666666667,163.0,471.5
v3a,exp_a_reduced_centroid,8,6,0.16666666666666666,1.9760092779739662,0.6898001296350845,1.7331532428535947,0.6666666666666666,22.5,107.0,174.5,168.83333333333334,463.1666666666667
v3a,exp_b_distance_capped,2,6,0.5,2.1213885925077403,0.6402823055564998,1.7432975882148938,1.6833333333333347,29.5,106.0,171.16666666666666,193.5,433.8333333333333
v3a,exp_b_distance_capped,5,6,0.16666666666666666,2.1292069582192226,0.6390443260800613,1.7384975469255017,2.3500000000000014,38.666666666666664,106.16666666666667,154.83333333333334,200.5,455.3333333333333
v3a,exp_b_distance_capped,8,6,0.3333333333333333,2.140374295507645,0.6128292628404396,1.7393978711367846,3.683333333333335,48.333333333333336,105.83333333333333,156.16666666666666,171.0,485.1666666666667
v3a,exp_c_frame_translation,2,6,0.5,2.0330185114351127,0.6449559211066621,1.7404511070931334,0.516666666666668,23.5,105.83333333333333,126.16666666666667,167.5,475.1666666666667
v3a,exp_c_frame_translation,5,6,0.3333333333333333,2.069050968040165,0.674070732352908,1.7342360753313473,1.5,28.0,106.33333333333333,133.5,167.33333333333334,477.1666666666667
v3a,exp_c_frame_translation,8,6,0.6666666666666666,2.0807975542207244,0.6276836279282,1.7294040862171007,2.700000000000003,39.833333333333336,106.0,146.0,185.66666666666666,479.6666666666667
