comparison_seed,case_label,movement_model_effective,spawn_reference_spacing,runtime_low_level_floor,fleet_id,tick,alive_units,width_depth_ratio,front_extent_ratio,rear_forward_slot_error,mid_forward_slot_error,front_forward_slot_error,projection_pairs_count,corrected_unit_ratio
20260329,coupled_2.0_2.0,v4a,2.0,2.0,A,0,100,4.749999999999998,1.0,0.0,0.0,0.0,0,0.0
20260329,coupled_2.0_2.0,v4a,2.0,2.0,B,0,100,4.749999999999913,1.0,0.0,0.0,0.0,0,0.0
20260329,coupled_2.0_2.0,v4a,2.0,2.0,A,20,100,2.6941047493575327,1.6886833662216387,-0.8323530567611159,0.010945493288828972,0.7972485174877114,124,0.63
20260329,coupled_2.0_2.0,v4a,2.0,2.0,B,20,100,2.2412367184376283,2.1458185583716856,-1.0547991050706256,-0.21503640847848698,1.232487410209479,124,0.63
20260329,coupled_2.0_2.0,v4a,2.0,2.0,A,50,100,1.706332185326537,2.829423479042486,-2.925009415389677,-0.04024806436329067,2.87804402446616,51,0.345
20260329,coupled_2.0_2.0,v4a,2.0,2.0,B,50,100,1.28031814859182,4.679858751286577,-3.882744835111903,-0.8310025620083084,4.5751077677929,51,0.345
20260329,coupled_2.0_2.0,v4a,2.0,2.0,A,100,100,0.8961993040117912,5.1568333658557375,-6.207514337052478,-0.5519684191275277,6.5606744398219154,108,0.58
20260329,coupled_2.0_2.0,v4a,2.0,2.0,B,100,100,0.6085884660052412,7.732832322621527,-6.60751473576552,-1.7576357938594502,8.119116690518618,108,0.58
20260329,decoupled_2.0_1.0,v4a,2.0,1.0,A,0,100,4.749999999999998,1.0,0.0,0.0,0.0,0,0.0
20260329,decoupled_2.0_1.0,v4a,2.0,1.0,B,0,100,4.749999999999913,1.0,0.0,0.0,0.0,0,0.0
20260329,decoupled_2.0_1.0,v4a,2.0,1.0,A,20,100,4.112359270254654,1.1249180593304156,-0.25805646503363183,-0.03601184748640713,0.28541924450476996,14,0.13
20260329,decoupled_2.0_1.0,v4a,2.0,1.0,B,20,100,3.881579195495998,1.2007543488367984,-0.3833825192836573,-0.044433143279411697,0.4152328489582965,14,0.13
20260329,decoupled_2.0_1.0,v4a,2.0,1.0,A,50,100,3.369786736682875,1.4586263138142879,-1.162870515738627,-0.04186244689618232,1.1692996402044418,16,0.15
20260329,decoupled_2.0_1.0,v4a,2.0,1.0,B,50,100,2.9161333536769414,1.7074964744865284,-1.6855591944821366,-0.15427734952504735,1.78572370447751,16,0.15
20260329,decoupled_2.0_1.0,v4a,2.0,1.0,A,100,100,2.3922061206793823,2.2420396897466968,-3.0758905887281407,-0.2092638587423725,3.188532257838945,16,0.135
20260329,decoupled_2.0_1.0,v4a,2.0,1.0,B,100,100,1.908886663843967,2.980595286332575,-4.417874602805187,-0.56864949514563,4.839861624481772,16,0.135
